"Designator","Comment","Footprint","JLCPCB Part #"
"C1,C2,C7","1u","Capacitor_SMD:C_0402_1005Metric","C52923"
"C3,C4,C8","100n","Capacitor_SMD:C_0402_1005Metric","C1525"
"C5","4u7","Capacitor_SMD:C_0402_1005Metric","C23733"
"C6","10n","Capacitor_SMD:C_0402_1005Metric","C15195"
"C9,C10","10pF","Capacitor_SMD:C_0402_1005Metric","C32949"
"D1","STATUS","LED_SMD:LED_0603_1608Metric","C2286"
"D2","POWER","LED_SMD:LED_0603_1608Metric","C2286"
"F1","250mA","Fuse:Fuse_0603_1608Metric","C151137"
"FB1","120Ω@100MHz","Inductor_SMD:L_0603_1608Metric","C14709"
"J1","USB_C_Receptacle_USB2.0_16P","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","C2765186"
"J2","Conn_ST_STDC14","Connector_PinHeader_1.27mm:PinHeader_2x07_P1.27mm_Vertical_SMD","C3975190"
"R1,R2","5k1","Resistor_SMD:R_0402_1005Metric","C25905"
"R3,R4","1k","Resistor_SMD:R_0402_1005Metric","C11702"
"U1","USBLC6-2SC6","Package_TO_SOT_SMD:SOT-23-6","C7519"
"U2","XC6206P332MR","Package_TO_SOT_SMD:SOT-23-3","C5446"
"U3","STM32G431KBTx","Package_QFP:LQFP-32_7x7mm_P0.8mm","C529357"
"Y1","16MHz","Crystal:Crystal_SMD_EuroQuartz_MT-4Pin_3.2x2.5mm","C13738"
